"Source Line","Source","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_UOPS_RETIRED.ALL_STORES","MEM_UOPS_RETIRED.ALL_STORES_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_UOPS_RETIRED.ALL_STORES","MEM_UOPS_RETIRED.ALL_STORES_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS"
"374","        DO bj=x_min,nb_x,BLOCK_SIZE","0","0","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"375","        DO bk=y_min,nb_x,BLOCK_SIZE","2000003","4000006","0","0","0","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"376","        DO bl=z_min,nb_y,BLOCK_SIZE","0","2000003","0","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000015","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"377","        DO j=bj,block_max","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"378","        DO k=bk,block_max","2000003","8000012","0","0","0","0","0","0","10000015","0","0","500015","0","0","0","500030","0","0","5000015","0","0","60000090","30000090","0","55753345","0","6500195","0","0","1","4","0","0","0","0","0","0","1","0","0","1","0","0","0","2","0","0","1","0","0","1","1","0","2","0","1","0","0"
"379","        DO l=bl,block_max","14000021","16000024","10000015","20000030","0","20000030","0","0","0","1000030","1000030","0","500210","0","500210","0","1000030","0","0","0","0","0","0","0","0","0","0","0","0","7","8","1","2","0","2","0","0","0","2","2","0","2","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"380","        IF (j.LT.nb_x .AND. k.LT.nb_x .AND. l.LT.nb_x) THEN","2000003","4000006","0","0","0","0","10000015","0","0","500015","500015","0","250105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"381","        vel1 (j,k,l)=(vel1 (j,k,l)*node_mass_pre(j,k,l)+mom_flux(j-1,k,l)-mom_flux(j,k,l))/node_mass_post(j,k,l)","2546003819","2392003588","2290003435","2300003450","2310003465","2340003510","50000075","42001260","80000120","181005430","181005430","72002160","106044520","112047040","67528350","78504710","49501485","49002940","300000900","10000015","55000825","9420014130","75400226200","14807888420","15437676205","27812426315","16505495150","11160834815","4258127740","1273","1196","229","230","231","234","5","84","8","362","362","144","424","448","270","314","99","196","60","1","55","8","60","196","314","448","144","84","38"
"382","        ENDIF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"383","        ENDDO","30000045","32000048","30000045","20000030","30000045","20000030","0","0","0","0","0","0","1500630","0","500210","0","1000030","0","0","0","0","0","0","0","0","0","0","0","0","15","16","3","2","3","2","0","0","0","0","0","0","6","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"384","        ENDDO","2000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"385","          ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"386","        ENDDO","0","2000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"387","      ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"388","    ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"389","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"391","!$OMP MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"393","  iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"394","  tmpFlop=iter*7","2000003","4000006","10000015","0","0","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"395","  tmpMem=iter*6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"396","  flop=flop+tmpFlop","2000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"397","  mem=mem+tmpMem","0","0","0","0","0","0","0","0","0","0","0","0","0","0","250105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"398","  tmpFlop=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"399","  tmpMem=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"400","!$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402","!------------------------------ Sid - Velocity calculation complete ------------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"403","!------------------------------ repeat the same logic below for direction 2 and direction 3 ------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"405","  ELSEIF(direction.EQ.2)THEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"406","    IF(which_vel.EQ.1)THEN","0","4000006","10000015","20000030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","!$OMP DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"408","      DO l=z_min,z_max+1","2000003","6000009","0","10000015","0","0","0","0","0","0","0","0","0","0","250105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409","        DO k=y_min-2,y_max+2","10000015","18000027","0","30000045","10000015","0","0","0","80000120","0","0","0","0","0","0","0","0","0","75000225","0","0","720001080","5175015525","0","0","0","0","0","0","5","9","0","3","1","0","0","0","8","0","0","0","0","0","0","0","0","0","15","0","0","8","15","0","0","0","0","0","0"
"410","          DO j=x_min,x_max+1","170000255","174000261","40000060","50000075","70000105","10000015","10000015","0","0","0","0","0","0","0","0","0","0","250015","10000030","10000015","0","0","190000570","1750105","0","0","0","0","0","85","87","4","5","7","1","1","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","2","1","0","0","0","0","0"
"411","            ! Find staggered mesh mass fluxes and nodal masses and volumes.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"412","            node_flux(j,k,l)=0.125_8*(mass_flux_y(j-1,k  ,l  )+mass_flux_y(j  ,k  ,l  ) &","1706002559","1608002412","660000990","660000990","580000870","770001155","30000045","500015","1630002445","6000180","6000180","0","3751575","500210","1500630","0","1500045","0","1695005085","60000090","373005595","64370096555","115755347265","0","0","15256405","0","3500105","0","853","804","66","66","58","77","3","1","163","12","12","0","15","2","6","0","3","0","339","6","373","163","339","0","0","2","0","1","0"
"413","                                     +mass_flux_y(j-1,k+1,l  )+mass_flux_y(j  ,k+1,l  ) &","7064010596","6850010275","5710008565","5480008220","5430008145","5310007965","190000285","0","780001170","5500165","5500165","5500165","1500630","3251365","1500630","1750105","500015","1250075","990002970","120000180","0","34290051435","32780098340","169260155","712792765","36265225","255007650","0","0","3532","3425","571","548","543","531","19","0","78","11","11","11","6","13","6","7","1","5","198","12","0","78","198","5","7","13","11","0","0"
"414","                                     +mass_flux_y(j-1,k  ,l-1)+mass_flux_y(j  ,k  ,l-1) &","874001311","846001269","390000585","350000525","470000705","390000585","40000060","0","840001260","2500075","2500075","0","0","250105","250105","0","0","250015","675002025","60000090","0","50950076425","29270087810","2250135","0","2250945","0","0","0","437","423","39","35","47","39","4","0","84","5","5","0","0","1","1","0","0","1","135","6","0","84","135","1","0","1","0","0","0"
"415","                                     +mass_flux_y(j-1,k+1,l-1)+mass_flux_y(j  ,k+1,l-1))","4030006045","4020006030","2610003915","2980004470","3110004665","3130004695","110000165","2500075","1450002175","5000150","5000150","5000150","1250525","3251365","1500630","2500150","1500045","750045","1785005355","80000120","0","61030091545","74745224235","6500390","382022920","679285180","295008850","1278538355","0","2015","2010","261","298","311","313","11","5","145","10","10","10","5","13","6","10","3","3","357","8","0","145","357","3","10","13","10","5","0"
"416","          ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"417","        ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"418","      ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"419","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"420","!$OMP MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"422","      iter=(z_max-z_min+2)*(y_max-y_min+5)*(x_max-x_min+2)","0","2000003","0","0","0","0","0","0","0","500015","500015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"423","      tmpFlop=iter*8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"424","      tmpMem=iter*9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"425","      mem=mem+tmpMem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"426","      flop=flop+tmpFlop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"427","      tmpFlop=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"428","      tmpMem=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"429","!$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"431","!$OMP DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"432","      DO l=z_min,z_max+1","6000009","0","0","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"433","        DO k=y_min-1,y_max+2","18000027","18000027","30000045","20000030","40000060","40000060","0","0","60000090","0","0","0","0","0","0","0","0","0","125000375","0","0","450000675","930002790","0","0","0","0","0","0","9","9","3","2","4","4","0","0","6","0","0","0","0","0","0","0","0","0","25","0","0","6","25","0","0","0","0","0","0"
"434","          DO j=x_min,x_max+1","476000714","496000744","140000210","220000330","150000225","150000225","0","0","20000030","0","0","0","1000420","0","0","0","1000030","0","40000120","20000030","0","150000225","310000930","0","0","0","0","0","0","238","248","14","22","15","15","0","0","2","0","0","0","4","0","0","0","2","0","8","2","0","2","8","0","0","0","0","0","0"
"435","            node_mass_post(j,k,l)=0.125_8*(density1(j  ,k-1,l  )*post_vol(j  ,k-1,l  )                     &","4108006162","4210006315","2420003630","2290003435","2180003270","2150003225","150000225","1000030","6470009705","4500135","4500135","500015","2501050","750315","1000420","0","2500075","1250075","5485016455","180000270","384005760","110060165090","120825362475","10500630","0","15006300","3500105","11000330","0","2054","2105","242","229","218","215","15","2","647","9","9","1","10","3","4","0","5","5","1097","18","384","647","1097","5","0","3","1","2","0"
"436","                                          +density1(j  ,k  ,l  )*post_vol(j  ,k  ,l  )                     &","6988010482","6698010047","5380008070","5170007755","5430008145","5490008235","180000270","4500135","440000660","2500075","2500075","4500135","1000420","5252205","250105","2250135","500015","3000180","515001545","20000030","0","5630008445","17525052575","123007380","17751065","53522470","38501155","238007140","0","3494","3349","538","517","543","549","18","9","44","5","5","9","4","21","1","9","1","12","103","2","0","44","103","12","9","21","9","9","0"
"437","                                          +density1(j-1,k-1,l  )*post_vol(j-1,k-1,l  )                     &","882001323","840001260","240000360","270000405","330000495","290000435","30000045","0","1100001650","1500045","1500045","0","250105","0","0","0","500015","250015","980002940","60000090","0","15330022995","15300045900","2000120","0","0","0","0","0","441","420","24","27","33","29","3","0","110","3","3","0","1","0","0","0","1","1","196","6","0","110","196","1","0","0","0","0","0"
"438","                                          +density1(j-1,k  ,l  )*post_vol(j-1,k  ,l  )                     &","714001071","678001017","170000255","260000390","280000420","210000315","10000015","1500045","950001425","1000030","1000030","0","1750735","250105","0","0","500015","750045","1010003030","10000015","0","10370015555","28730086190","5250315","0","1500630","0","671020130","0","357","339","17","26","28","21","1","3","95","2","2","0","7","1","0","0","1","3","202","1","0","95","202","3","0","1","0","3","0"
"439","                                          +density1(j  ,k-1,l-1)*post_vol(j  ,k-1,l-1)                     &","1418002127","1426002139","770001155","740001110","830001245","790001185","50000075","0","550000825","7500225","7500225","500015","3501470","250105","2000840","0","4000120","1500090","550001650","10000015","0","25540038310","13675041025","117007020","0","1750735","3500105","0","0","709","713","77","74","83","79","5","0","55","15","15","1","14","1","8","0","8","6","110","1","0","55","110","6","0","1","1","0","0"
"440","                                          +density1(j  ,k  ,l-1)*post_vol(j  ,k  ,l-1)                     &","4986007479","4932007398","3610005415","4320006480","3890005835","3720005580","190000285","1500045","670001005","3500105","3500105","5000150","1500630","6002520","1250525","1750105","500015","1000060","875002625","20000030","1000015","32860049290","22615067845","9750585","37002220","291872535","47001410","131003930","0","2493","2466","361","432","389","372","19","3","67","7","7","10","6","24","5","7","1","4","175","2","1","67","175","4","7","24","10","3","0"
"441","                                          +density1(j-1,k-1,l-1)*post_vol(j-1,k-1,l-1)                     &","882001323","788001182","240000360","200000300","240000360","270000405","30000045","0","530000795","1500045","1500045","0","500210","0","0","0","500015","250015","440001320","20000030","0","15040022560","7640022920","2250135","0","0","0","0","0","441","394","24","20","24","27","3","0","53","3","3","0","2","0","0","0","1","1","88","2","0","53","88","1","0","0","0","0","0"
"442","                                          +density1(j-1,k  ,l-1)*post_vol(j-1,k  ,l-1))","1044001566","934001401","270000405","280000420","290000435","340000510","20000030","0","480000720","2000060","2000060","0","750315","250105","0","250015","500015","0","515001545","70000105","0","3940005910","14235042705","0","26751605","1750735","0","0","0","522","467","27","28","29","34","2","0","48","4","4","0","3","1","0","1","1","0","103","7","0","48","103","0","1","1","0","0","0"
"443","          ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"444","        ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"445","      ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"447","!$OMP MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"449","      iter=(z_max-z_min+2)*(y_max-y_min+4)*(x_max-x_min+2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"450","      tmpFlop=iter*16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"451","      tmpMem=iter*17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"452","      flop=flop+tmpFlop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"453","      mem=mem+tmpMem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"454","      tmpMem=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"455","      tmpFlop=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"456","!$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"458","!$OMP DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"459","      DO l=z_min,z_max+1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"460","        DO k=y_min-1,y_max+2","8000012","20000030","10000015","30000045","0","0","0","0","10000015","0","0","0","0","0","0","0","500015","0","15000045","0","0","10410015615","340001020","0","0","0","0","0","0","4","10","1","3","0","0","0","0","1","0","0","0","0","0","0","0","1","0","3","0","0","1","3","0","0","0","0","0","0"
"461","          DO j=x_min,x_max+1","110000165","122000183","40000060","110000165","40000060","70000105","0","0","0","2000060","2000060","0","2250945","0","1250525","0","500015","0","5000015","30000045","0","0","1230003690","0","0","0","0","0","0","55","61","4","11","4","7","0","0","0","4","4","0","9","0","5","0","1","0","1","3","0","0","1","0","0","0","0","0","0"
"462","            node_mass_pre(j,k,l)=node_mass_post(j,k,l)-node_flux(j,k-1,l)+node_flux(j,k,l)","14450021675","14032021048","12230018345","12190018285","12050018075","12060018090","430000645","55501665","840001260","112003360","112003360","24500735","77532550","79533390","22259345","28001680","50501515","52753165","1620004860","350000525","359005385","107940161910","317585952755","12107976435","2471148260","13917592935","3496604895","8657759725","165504965","7225","7016","1223","1219","1205","1206","43","111","84","224","224","49","310","318","89","112","101","211","324","35","359","84","324","211","112","318","49","111","6"
"463","          ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"464","        ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"465","      ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"466","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"467","!$OMP MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"469","    iter=(z_max-z_min+2)*(y_max-y_min+4)*(x_max-x_min+2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"470","    tmpFlop=iter*2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"471","    tmpMem=iter*4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"472","    flop=flop+tmpFlop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"473","    mem=mem+tmpMem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"474","    tmpFlop=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"475","    tmpMem=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"476","!$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"478","ENDIF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"480","limiter_count=0","0","2000003","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"481","!$OMP DO PRIVATE(upwind,donor,downwind,dif,sigma,width,limiter,vdiffuw,vdiffdw,auw,adw,wind) REDUCTION (+:limiter_count)","2000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"482","    DO l=z_min,z_max+1","2000003","4000006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"483","      DO k=y_min-1,y_max+1","44000066","30000045","10000015","30000045","10000015","10000015","0","0","30000045","0","0","0","0","0","250105","250015","0","0","15000045","0","0","200000300","100000300","0","1750105","0","0","0","0","22","15","1","3","1","1","0","0","3","0","0","0","0","0","1","1","0","0","3","0","0","3","3","0","1","0","0","0","0"
